Name;Class;Role;Tier;Score;Trend;Win %;Role %;Pick %;Ban %;KDA
Aatrox;Fighter;TOP;S;57.63;-31.86;47.68%;91.63%;6.62%;11.98%;1.77
Ahri;Mage;MID;S;57.18;4.55;49.50%;94.65%;5.81%;1.73%;2.58
Akali;Assassin;MID;S;65.49;4.33;48.41%;75.74%;8.11%;13.02%;2.37
Akali;Assassin;TOP;C;39.63;-1.51;45.92%;23.50%;2.55%;13.02%;2
Akshan;Marksman;MID;A;49.39;0.34;51.62%;66.03%;2.75%;3.79%;2.26
Akshan;Marksman;TOP;B;44.58;2.61;51.69%;25.56%;1.01%;3.79%;2
Alistar;Tank;SUPPORT;B;43.21;-1.03;50.09%;95.95%;2.67%;0.60%;2.46
Amumu;Tank;JUNGLE;S;57.41;16.78;52.87%;49.07%;4.44%;5.20%;2.82
Amumu;Tank;SUPPORT;A;52.62;1.09;52.39%;50.05%;4.09%;5.20%;2.18
Anivia;Mage;MID;S;59.33;9.21;53.22%;86.04%;3.60%;3.56%;3.03
Annie;Mage;MID;C;39.56;-4.78;49.13%;74.96%;1.29%;0.37%;2.3
Annie;Mage;SUPPORT;D;26.8;0.67;47.00%;13.05%;0.21%;0.37%;2.27
Aphelios;Marksman;ADC;D;24.82;-4.83;46.60%;96.77%;3.48%;0.51%;1.95
Ashe;Marksman;SUPPORT;S;67.31;18.82;50.02%;55.73%;8.75%;6.03%;2.44
Ashe;Marksman;ADC;B;46.2;-4.93;50.27%;42.22%;6.49%;6.03%;2.43
Aurelion Sol;Mage;MID;C;41.32;-1.21;50.42%;87.99%;0.71%;0.27%;2.54
Azir;Mage;MID;C;36.92;-0.97;46.31%;91.28%;2.40%;0.51%;2.12
Bard;Support;SUPPORT;A;48.9;-0.29;50.30%;97.18%;3.25%;0.48%;3.1
Bel'Veth;Fighter;JUNGLE;A;49.9;-3.44;50.94%;94.30%;3.89%;8.20%;2.39
Blitzcrank;Tank;SUPPORT;God;70.3;3.05;51.75%;97.28%;7.49%;18.25%;2.46
Brand;Mage;SUPPORT;B;44.57;-7.24;50.72%;76.74%;3.32%;4.03%;1.85
Brand;Mage;MID;C;39.54;-2.39;50.69%;15.84%;0.74%;4.41%;2.04
Braum;Support;SUPPORT;C;38.3;-2.6;48.89%;98.55%;1.71%;0.27%;2.68
Caitlyn;Marksman;ADC;God;93.3;1.35;50.37%;96.12%;20.28%;18.56%;2.3
Camille;Fighter;TOP;S;58.81;-0.44;50.33%;93.66%;5.90%;2.54%;1.97
Cassiopeia;Mage;MID;A;48.79;4.1;51.64%;77.88%;2.64%;1.68%;2.25
Cassiopeia;Mage;TOP;B;44.55;2.69;52.77%;13.88%;0.51%;1.68%;1.95
Cho'Gath;Tank;MID;B;45.34;-1.6;53.13%;20.82%;0.45%;0.76%;2.47
Cho'Gath;Tank;TOP;B;44.76;-1.1;50.27%;65.37%;1.81%;0.76%;2.06
Corki;Marksman;MID;C;36.75;-6.42;48.61%;90.20%;0.87%;0.16%;2.23
Darius;Fighter;TOP;God;77.98;-7;49.88%;94.72%;9.34%;22.42%;1.87
Diana;Fighter;JUNGLE;S;59.94;-15.21;50.55%;70.61%;6.61%;4.60%;2.55
Diana;Fighter;MID;B;44.17;-4.78;49.84%;27.49%;2.45%;4.60%;2.09
Dr. Mundo;Marksman;TOP;A;51.81;-35.52;49.64%;85.79%;4.07%;10.03%;1.86
Draven;Fighter;ADC;A;51.04;-0.85;49.66%;96.04%;7.55%;22.14%;2.12
Ekko;Assassin;JUNGLE;S;65.07;-5.43;50.98%;71.07%;7.27%;6.21%;2.81
Ekko;Assassin;MID;B;46.68;-2.98;50.18%;26.44%;2.63%;6.21%;2.31
Elise;Mage;JUNGLE;God;69.88;16.71;52.37%;96.95%;6.93%;11.73%;2.9
Evelynn;Assassin;JUNGLE;A;54.36;-4.53;50.54%;98.06%;4.44%;7.79%;3.01
Ezreal;Marksman;ADC;God;74.09;-4.86;48.39%;94.75%;18.55%;3.53%;2.4
Fiddlesticks;Mage;JUNGLE;A;52.68;4.53;52.09%;85.92%;3.68%;2.87%;2.84
Fiddlesticks;Mage;SUPPORT;C;36.06;-1.15;51.43%;10.34%;0.38%;2.74%;2.11
Fiora;Fighter;TOP;God;71.25;-20.63;50.72%;97.61%;7.62%;21.28%;1.72
Fizz;Assassin;MID;B;47.52;-3.08;49.73%;94.84%;3.08%;3.12%;2.4
Galio;Tank;MID;A;49.3;-1.53;51.32%;80.94%;2.31%;0.31%;2.71
Galio;Tank;SUPPORT;D;31.58;-5.57;48.87%;15.56%;0.42%;0.32%;2.29
Gangplank;Fighter;TOP;God;69.17;2.93;50.56%;79.71%;7.97%;9.81%;2.02
Gangplank;Fighter;MID;B;46.18;-2.91;51.00%;19.32%;2.11%;9.81%;2.2
Garen;Fighter;TOP;S;57.13;-0.12;50.12%;86.14%;5.48%;1.54%;2.03
Gnar;Fighter;TOP;B;44.28;2.92;48.68%;96.81%;2.86%;0.35%;1.9
Gragas;Fighter;JUNGLE;B;46.99;13.67;51.00%;45.36%;2.53%;0.85%;3.05
Gragas;Fighter;MID;B;45.69;0.48;52.46%;11.47%;0.65%;0.85%;2.66
Gragas;Fighter;TOP;B;44.63;6.76;49.21%;36.79%;2.14%;0.85%;2.2
Graves;Marksman;JUNGLE;S;58.59;-1.82;49.67%;89.60%;6.62%;3.46%;2.66
Gwen;Fighter;TOP;B;44.69;-2.82;49.30%;86.87%;2.85%;0.79%;1.76
Hecarim;Fighter;JUNGLE;A;51.12;-27.21;47.24%;99.04%;5.59%;10.13%;2.58
Heimerdinger;Mage;SUPPORT;A;52.08;-1.16;51.87%;68.65%;4.07%;10.12%;2.1
Heimerdinger;Mage;MID;B;43.05;-5.91;52.32%;14.38%;0.84%;10.12%;2.01
Illaoi;Fighter;TOP;A;55.97;2.28;52.29%;94.06%;4.55%;6.75%;1.48
Irelia;Fighter;MID;S;63.06;8.17;50.75%;50.98%;6.70%;16.82%;1.85
Irelia;Fighter;TOP;S;61.28;1.45;50.00%;47.72%;6.23%;16.82%;1.67
Ivern;Support;JUNGLE;B;44.56;11.2;50.92%;80.70%;1.13%;0.44%;3.66
Ivern;Support;SUPPORT;D;25.15;-4.12;45.89%;10.94%;0.14%;0.41%;2.46
Janna;Support;SUPPORT;A;56.18;-6.27;51.30%;97.90%;4.50%;1.50%;3.18
Jarvan IV;Tank;JUNGLE;B;41.86;3.99;48.94%;87.95%;2.21%;0.20%;3.07
Jax;Fighter;TOP;God;93.31;27.78;51.94%;85.83%;12.04%;21.85%;1.75
Jax;Fighter;JUNGLE;C;38.34;13.6;49.80%;11.19%;1.58%;21.85%;2.21
Jayce;Fighter;TOP;A;56.48;15.73;50.29%;77.92%;5.41%;2.13%;1.88
Jayce;Fighter;MID;B;47.28;1.91;53.03%;20.48%;1.38%;2.13%;2.26
Jhin;Marksman;ADC;God;83.12;3.82;51.43%;92.56%;17.41%;3.40%;3.06
Jinx;Marksman;ADC;B;47.97;-3.01;50.67%;98.56%;7.44%;0.54%;2.32
K'Sante;#N/A;TOP;S;62.32;-15.1;47.52%;93.24%;7.24%;15.11%;1.97
Kai'Sa;Marksman;ADC;God;81.95;-1.78;50.83%;96.92%;18.91%;3.81%;2.51
Kalista;Marksman;ADC;D;27.85;-2.37;47.95%;86.37%;2.66%;0.76%;2.22
Karma;Mage;SUPPORT;God;71.63;9.2;49.52%;83.31%;9.99%;3.42%;2.8
Karma;Mage;MID;B;47.01;0;50.63%;10.41%;1.29%;3.42%;3.17
Karthus;Mage;MID;C;36.86;-8.67;49.37%;12.72%;0.37%;1.67%;2.28
Karthus;Mage;ADC;C;36.72;1.43;53.28%;26.01%;0.93%;1.67%;2.28
Karthus;Mage;JUNGLE;C;36.17;8.25;48.40%;52.62%;1.64%;1.67%;2.53
Kassadin;Assassin;MID;God;88.29;26.27;52.30%;97.44%;7.72%;36.28%;2.71
Katarina;Assassin;MID;S;61.76;2.85;48.73%;95.50%;7.44%;8.12%;2.34
Kayle;Fighter;TOP;B;45.73;1.4;50.92%;79.82%;2.13%;0.46%;1.82
Kayle;Fighter;MID;C;38.48;-6.88;50.45%;16.68%;0.38%;0.46%;2.19
Kayn;Fighter;JUNGLE;A;55.19;-22.06;48.23%;97.18%;6.68%;5.46%;2.39
Kennen;Mage;MID;C;37.56;-6.98;49.76%;16.06%;0.25%;0.32%;2.35
Kennen;Mage;TOP;C;37.33;2.31;48.01%;78.94%;1.18%;0.32%;1.93
Kha'Zix;Assassin;JUNGLE;A;51.16;-5.19;49.88%;98.25%;4.78%;1.94%;2.58
Kindred;Marksman;JUNGLE;A;56.35;-7.19;49.40%;96.33%;6.20%;8.83%;2.26
Kled;Fighter;TOP;A;51.87;4.63;52.03%;86.05%;2.30%;0.95%;2.39
Kled;Fighter;MID;B;47.23;-4.27;53.93%;11.75%;0.29%;0.95%;2.65
Kog'Maw;Marksman;ADC;C;36.63;0.6;52.42%;86.94%;1.83%;0.41%;2.23
LeBlanc;Assassin;MID;B;42.45;-4.58;46.47%;91.29%;2.90%;4.04%;2.75
Lee Sin;Fighter;JUNGLE;S;65.07;-7.81;47.13%;92.08%;9.54%;4.07%;2.66
Leona;Tank;SUPPORT;A;52;-3.22;50.11%;98.81%;4.97%;4.18%;2.38
Lillia;Fighter;JUNGLE;B;43.35;-16.96;49.72%;85.84%;2.54%;1.52%;2.79
Lillia;Fighter;TOP;D;30.76;-9.48;46.17%;11.32%;0.37%;1.56%;1.89
Lissandra;Mage;MID;A;51.49;6.18;50.81%;93.66%;3.53%;0.89%;2.52
Lucian;Marksman;ADC;A;56.1;-0.73;49.61%;93.22%;10.96%;5.45%;2.29
Lulu;Support;SUPPORT;God;74.9;1.34;49.89%;97.61%;9.58%;9.96%;3.06
Lux;Mage;SUPPORT;God;93.53;0.79;51.19%;70.69%;13.65%;10.76%;2.56
Lux;Mage;MID;S;63.16;4.64;51.54%;26.49%;5.12%;10.76%;3.03
Malphite;Tank;TOP;A;50.91;1.78;49.54%;67.52%;3.36%;2.58%;2.4
Malphite;Tank;MID;B;43.78;-3.18;51.67%;14.58%;0.72%;2.58%;2.53
Malphite;Tank;SUPPORT;D;30.27;3.6;48.29%;14.12%;0.81%;2.65%;1.96
Malzahar;Mage;MID;A;52.98;-0.67;51.52%;90.90%;3.69%;3.69%;2.35
Maokai;Tank;JUNGLE;God;97.26;50;54.31%;75.40%;9.84%;27.50%;3.02
Maokai;Tank;SUPPORT;A;48.63;0.76;51.42%;20.67%;2.63%;27.50%;2.27
Master Yi;Assassin;JUNGLE;S;65.74;-22.57;50.35%;93.30%;7.11%;18.30%;2.13
Miss Fortune;Marksman;ADC;A;50.48;-9.29;50.44%;87.90%;8.52%;2.10%;2.26
Miss Fortune;Marksman;SUPPORT;D;26.27;0;45.98%;10.21%;0.89%;2.10%;2.08
Mordekaiser;Fighter;TOP;S;65.53;-20.57;50.23%;70.18%;6.82%;14.83%;1.88
Mordekaiser;Fighter;JUNGLE;B;42.54;-21.28;49.90%;23.47%;2.30%;14.83%;2.39
Morgana;Mage;SUPPORT;God;71.5;-8.61;50.06%;89.94%;7.26%;25.67%;2.52
Nami;Support;SUPPORT;God;91.91;5.24;51.61%;99.70%;13.02%;6.89%;3.29
Nasus;Fighter;TOP;A;56.34;-6.42;51.14%;78.72%;4.60%;4.19%;1.99
Nasus;Fighter;MID;B;46.24;-3.06;53.66%;14.69%;0.52%;4.19%;2.39
Nautilus;Tank;SUPPORT;S;63.34;4.52;50.09%;98.21%;7.83%;7.62%;2.31
Neeko;Mage;MID;B;44.31;-1.84;51.21%;57.37%;1.42%;0.41%;2.36
Neeko;Mage;TOP;B;42.13;4.63;51.82%;12.01%;0.21%;0.41%;2.03
Neeko;Mage;SUPPORT;D;34.23;-3.16;50.31%;25.02%;0.61%;0.43%;2.06
Nidalee;Assassin;JUNGLE;B;42.38;9.47;47.46%;88.62%;3.33%;1.28%;2.87
Nilah;Marksman;ADC;C;40.08;-10.72;52.81%;96.35%;2.64%;4.99%;2.23
Nocturne;Assassin;JUNGLE;A;48.19;-3.38;50.80%;92.64%;3.47%;2.05%;2.6
Nunu;Tank;JUNGLE;A;49.68;7.73;49.34%;91.22%;4.40%;1.30%;2.8
Olaf;Fighter;TOP;A;52.96;3.76;52.21%;80.16%;3.34%;2.37%;1.87
Olaf;Fighter;JUNGLE;D;33.51;6.23;49.50%;17.04%;0.63%;2.37%;2.33
Orianna;Mage;MID;B;47.84;1.89;50.36%;92.29%;2.36%;0.16%;2.76
Ornn;Tank;TOP;A;56.9;4.74;51.31%;93.04%;4.06%;0.64%;2.47
Pantheon;Fighter;MID;B;46.39;-3.79;51.96%;26.19%;1.59%;1.16%;2.36
Pantheon;Fighter;TOP;B;44.11;1.97;50.14%;31.20%;1.74%;1.16%;2.03
Pantheon;Fighter;SUPPORT;D;34.82;-4.36;48.44%;32.94%;2.03%;1.16%;1.92
Poppy;Tank;TOP;B;43.41;1.47;50.72%;40.33%;1.04%;0.52%;2.13
Poppy;Tank;JUNGLE;D;35.48;7.8;48.51%;47.78%;1.20%;0.52%;2.7
Pyke;Support;SUPPORT;S;65.3;-4.93;49.29%;94.85%;8.26%;13.91%;2.21
Qiyana;Assassin;MID;C;41.02;-0.52;48.10%;81.80%;2.62%;0.94%;2.09
Qiyana;Assassin;JUNGLE;D;21.3;17.81;44.03%;11.83%;0.33%;0.94%;2.23
Quinn;Marksman;TOP;A;48.15;4.4;53.27%;77.05%;1.30%;0.60%;1.93
Quinn;Marksman;MID;C;39.49;-9.78;51.07%;11.07%;0.17%;0.60%;2.29
Rakan;Support;SUPPORT;A;53.44;1.57;51.54%;98.50%;3.96%;0.22%;2.97
Rammus;Tank;JUNGLE;A;49.09;-29.03;51.19%;90.80%;2.64%;8.72%;3.13
Rek'Sai;Fighter;JUNGLE;C;36.5;10.41;48.73%;95.43%;1.69%;0.80%;2.44
Rell;Tank;SUPPORT;B;46.01;-1.97;52.22%;98.75%;2.15%;0.38%;2.5
Renata Glasc;Support;SUPPORT;A;50.96;-4.61;51.27%;99.02%;3.67%;1.79%;2.75
Renekton;Fighter;TOP;A;49.03;0.41;48.48%;82.59%;4.44%;2.45%;1.8
Renekton;Fighter;MID;C;40.37;-3.18;50.87%;16.09%;0.88%;2.45%;2.06
Rengar;Assassin;JUNGLE;B;45.48;1.97;48.70%;76.49%;3.85%;7.52%;2.35
Rengar;Assassin;TOP;B;42.53;5.55;50.26%;20.74%;1.22%;7.52%;1.95
Riven;Fighter;TOP;A;50.22;-0.98;49.31%;90.85%;4.19%;1.42%;1.9
Rumble;Fighter;MID;B;43.29;-1.34;50.56%;43.02%;1.22%;0.54%;2.54
Rumble;Fighter;TOP;C;37.83;5.47;47.83%;42.54%;1.06%;0.54%;2.14
Rumble;Fighter;JUNGLE;D;31.32;15.21;47.74%;11.62%;0.34%;0.54%;2.8
Ryze;Mage;MID;S;64.07;23.14;50.06%;88.06%;7.45%;4.14%;2.47
Ryze;Mage;TOP;B;43.12;12.77;50.92%;10.53%;0.90%;4.14%;2.07
Samira;Marksman;ADC;God;75.02;5.3;52.01%;98.08%;11.97%;26.31%;2.37
Sejuani;Tank;JUNGLE;A;54.13;3.34;50.69%;81.96%;4.31%;0.91%;3.27
Sejuani;Tank;TOP;C;40.44;0.37;48.97%;13.39%;0.71%;0.91%;2.4
